
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,med,unacc
vhigh,vhigh,2,2,small,high,unacc
vhigh,vhigh,2,2,med,low,unacc
vhigh,vhigh,2,2,med,med,unacc
vhigh,vhigh,2,2,med,high,unacc
vhigh,vhigh,2,2,big,low,unacc
vhigh,vhigh,2,2,big,med,unacc
vhigh,vhigh,2,2,big,high,unacc
vhigh,vhigh,2,4,small,low,unacc
vhigh,vhigh,2,4,small,med,unacc
vhigh,vhigh,2,4,small,high,unacc
vhigh,vhigh,2,4,med,low,unacc
vhigh,vhigh,2,4,med,med,unacc
vhigh,vhigh,2,4,med,high,unacc
vhigh,vhigh,2,4,big,low,unacc
vhigh,vhigh,2,4,big,med,unacc
vhigh,vhigh,2,4,big,high,unacc
vhigh,vhigh,2,5,small,low,unacc
vhigh,vhigh,2,5,small,med,unacc
vhigh,vhigh,2,5,small,high,unacc
vhigh,vhigh,2,5,med,low,unacc
vhigh,vhigh,2,5,med,med,unacc
vhigh,vhigh,2,5,med,high,unacc
vhigh,vhigh,2,5,big,low,unacc
vhigh,vhigh,2,5,big,med,unacc
vhigh,vhigh,2,5,big,high,unacc
vhigh,vhigh,3,2,small,low,unacc
vhigh,vhigh,3,2,small,med,unacc
vhigh,vhigh,3,2,small,high,unacc
vhigh,vhigh,3,2,med,low,unacc
vhigh,vhigh,3,2,med,med,unacc
vhigh,vhigh,3,2,med,high,unacc
vhigh,vhigh,3,2,big,low,unacc
vhigh,vhigh,3,2,big,med,unacc
vhigh,vhigh,3,2,big,high,unacc
vhigh,vhigh,3,4,small,low,unacc
vhigh,vhigh,3,4,small,med,unacc
vhigh,vhigh,3,4,small,high,unacc
vhigh,vhigh,3,4,med,low,unacc
vhigh,vhigh,3,4,med,med,unacc
vhigh,vhigh,3,4,med,high,unacc
vhigh,vhigh,3,4,big,low,unacc
vhigh,vhigh,3,4,big,med,unacc
vhigh,vhigh,3,4,big,high,unacc
vhigh,vhigh,3,5,small,low,unacc
vhigh,vhigh,3,5,small,med,unacc
vhigh,vhigh,3,5,small,high,unacc
vhigh,vhigh,3,5,med,low,unacc
vhigh,vhigh,3,5,med,med,unacc
vhigh,vhigh,3,5,med,high,unacc
vhigh,vhigh,3,5,big,low,unacc
vhigh,vhigh,3,5,big,med,unacc
vhigh,vhigh,3,5,big,high,unacc
vhigh,vhigh,4,2,small,low,unacc
vhigh,vhigh,4,2,small,med,unacc
vhigh,vhigh,4,2,small,high,unacc
vhigh,vhigh,4,2,med,low,unacc
vhigh,vhigh,4,2,med,med,unacc
vhigh,vhigh,4,2,med,high,unacc
vhigh,vhigh,4,2,big,low,unacc
vhigh,vhigh,4,2,big,med,unacc
vhigh,vhigh,4,2,big,high,unacc
vhigh,vhigh,4,4,small,low,unacc
vhigh,vhigh,4,4,small,med,unacc
vhigh,vhigh,4,4,small,high,unacc
vhigh,vhigh,4,4,med,low,unacc
vhigh,vhigh,4,4,med,med,unacc
vhigh,vhigh,4,4,med,high,unacc
vhigh,vhigh,4,4,big,low,unacc
vhigh,vhigh,4,4,big,med,unacc
vhigh,vhigh,4,4,big,high,unacc
vhigh,vhigh,4,5,small,low,unacc
vhigh,vhigh,4,5,small,med,unacc
vhigh,vhigh,4,5,small,high,unacc
vhigh,vhigh,4,5,med,low,unacc
vhigh,vhigh,4,5,med,med,unacc
vhigh,vhigh,4,5,med,high,unacc
vhigh,vhigh,4,5,big,low,unacc
vhigh,vhigh,4,5,big,med,unacc
vhigh,vhigh,4,5,big,high,unacc
vhigh,vhigh,5,2,small,low,unacc
vhigh,vhigh,5,2,small,med,unacc
vhigh,vhigh,5,2,small,high,unacc
vhigh,vhigh,5,2,med,low,unacc
